B2	找B2检票口
A17号口	找A17检票口
检票口B18	找B18检票口
到达口12	找12号到达口
17号口	找17号到达口
出站口东	找东出站口
北9桥	找北9桥柱
A7口	找A7检票口
南7桥	找南7桥柱
检票口B17	找B17检票口
C27口	找C27检票口
A1号口	找A1检票口
东门的进站口	找东进站口
快递	找中铁快运
7号线	坐地铁
快速接人	找p3停车场
南7	找南7桥柱
出发厅	找出发平台
b7号口	找B7检票口
b19口	找B19检票口
A9号口	找A9检票口
西面进站口	找西进站口
b2号口	找B2检票口
北,9号桥	找北9桥柱
公交车	坐公交
B20口	找B20检票口
检票口b17	找B17检票口
a15口	找A15检票口
南1桥	找南1桥柱
检票口c24	找C24检票口
北边进站口	找北进站口
南7桥柱	找南7桥柱
10出口	找10号到达口
b12检票口	找B12检票口
B16检票口	找B16检票口
a28号口	找A28检票口
进站口	坐车
a26口	找A26检票口
B10	找B10检票口
进站口1	找1号进站口
c28检票口	找C28检票口
b5口	找B5检票口
22号出口	找22号到达口
身份证核验	找处理12306账户
A2检票口	找A2检票口
D27号口	找D27检票口
东,出发平台	找东出发平台
D23口	找D23检票口
人工取票	人工窗口
吃,吃饭	用餐
c区	找检票C区
B17口	找B17检票口
a8检票口	找A8检票口
小件行李寄存处	找行李寄存处
高铁站,售票大厅	人工窗口
6出站口	找6号出站口
神州租车	找p1停车场
北10	找北10桥柱
北4桥墩	找北4桥柱
B1	找B1检票口
D21	找D21检票口
A18	找A18检票口
南进站口	找南进站口
A13	找A13检票口
出口	找到达口
南13桥墩	找南13桥柱
北侧进站口	找北进站口
取不出来,票,柜台	人工窗口
b14检票口	找B14检票口
北1柱	找北1桥柱
南7桥柱	找南7桥柱
3号出站口	找3号出站口
南站南路	找南站南路
11号口	找11号到达口
南,14号桥	找南14桥柱
27号到达口	找27号到达口
到达口1	找1号到达口
检票口A6	找A6检票口
北,7号桥	找北7桥柱
南6桥墩	找南6桥柱
J口	找J口
南12桥洞	找南12桥柱
B19	找B19检票口
b6号口	找B6检票口
买火车票	人工窗口
B12	找B12检票口
a23检票口	找A23检票口
北14	找北14桥柱
A10口	找A10检票口
17号出口	找17号到达口
取票口	找自助取票机
检票口c23	找C23检票口
南13	找南13桥柱
A12	找A12检票口
D22检票口	找D22检票口
汇智光华商店	找汇智光华商店
b21	找B21检票口
南14桥	找南14桥柱
接客区	找p3停车场
地名,等车	坐车
检票口b21	找B21检票口
d26口	找D26检票口
出站口	找到达口
A2口	找A2检票口
的士	坐出租车
拿票	找自助取票机
27出口	找27号到达口
B6口	找B6检票口
北14桥	找北14桥柱
检票口a17	找A17检票口
周黑鸭	找周黑鸭
3出站口	找3号出站口
D22检票口	找D22检票口
a6口	找A6检票口
充电宝	借充电宝
p8停车场	找p8停车场
d22检票口	找D22检票口
j入口	找J口
17号到达口	找17号到达口
c27检票口	找C27检票口
拿票	找自助取票机
寄存	找行李寄存处
B4号口	找B4检票口
C21	找C21检票口
南14桥	找南14桥柱
上去,3层	坐车
d22检票口	找D22检票口
P8停车场	找p8停车场
b18口	找B18检票口
2号线	坐地铁
南8洞口	找南8桥柱
南14洞口	找南14桥柱
北13桥墩	找北13桥柱
11号出口	找11号到达口
a6号口	找A6检票口
18号到达口	找18号到达口
b21	找B21检票口
B18号口	找B18检票口
南5桥	找南5桥柱
北门	找北门
检票口A22	找A22检票口
停车场	找停车场
16号到达口	找16号到达口
北12洞口	找北12桥柱
身份证核验	找处理12306账户
订火车票	人工窗口
南,7号桥	找南7桥柱
d25口	找D25检票口
d出口	找D口
b5检票口	找B5检票口
b7号口	找B7检票口
a25口	找A25检票口
C24检票口	找C24检票口
东边进站口	找东进站口
A4号口	找A4检票口
南12柱	找南12桥柱
20号口	找20号到达口
检票口b6	找B6检票口
南10桥墩	找南10桥柱
南12洞口	找南12桥柱
B5口	找B5检票口
27号出口	找27号到达口
到达口11	找11号到达口
检票口A7	找A7检票口
4号出口	找4号到达口
南4桥柱	找南4桥柱
进站口5	找5号进站口
5号出站口	找5号出站口
地名1,轻轨	坐城轨
a9	找A9检票口
b27	找B27检票口
取钱	找ATM机
检票口a8	找A8检票口
北,2号桥	找北2桥柱
北,9号桥	找北9桥柱
南8桥洞	找南8桥柱
P6停车场	找p6停车场
没电了	借充电宝
a12	找A12检票口
地名,换乘	坐车
B10	找B10检票口
南8桥墩	找南8桥柱
d22检票口	找D22检票口
g入口	找G口
北11洞口	找北11桥柱
高铁,出站	找到达口
南站北路	找南站北路
B12口	找B12检票口
东在哪个方向	找东边
A17	找A17检票口
南5桥柱	找南5桥柱
东边出站口	找东出站口
接客区	找p3停车场
11出口	找11号到达口
23号到达口	找23号到达口
西在哪里	找西边
A24口	找A24检票口
B8号口	找B8检票口
北边的出站口	找北出站口
北6桥	找北6桥柱
西侧,出发平台	找西出发平台
3层	坐车
d23口	找D23检票口
检票口C27	找C27检票口
14号到达口	找14号到达口
c28检票口	找C28检票口
北3桥洞	找北3桥柱
售票厅	人工窗口
护照	人工窗口
轻轨,地名1	坐城轨
19号出口	找19号到达口
检票口c22	找C22检票口
l口	找L口
到达口14	找14号到达口
高铁,出站	找到达口
南路	找南站南路
a12号口	找A12检票口
南12	找南12桥柱
14号出口	找14号到达口
b10号口	找B10检票口
南出站口	找南出站口
b2口	找B2检票口
5号口	找5号到达口
人工取票	人工窗口
b4检票口	找B4检票口
b7	找B7检票口
a26号口	找A26检票口
北在哪个方向	找北边
上去,三层	坐车
22号到达口	找22号到达口
26号口	找26号到达口
P2	找p2停车场
检票口B20	找B20检票口
a9口	找A9检票口
充电	借充电宝
出发厅	找出发平台
北5柱	找北5桥柱
检票口A20	找A20检票口
汽车站	坐大巴
北13	找北13桥柱
到达口14	找14号到达口
7号线	坐地铁
a6	找A6检票口
南7桥柱	找南7桥柱
北,5号桥	找北5桥柱
取票	找自助取票机
检票口A26	找A26检票口
南3桥柱	找南3桥柱
地名,候车	坐车
b区	找检票B区
5号出口	找5号到达口
P3停车场	找p3停车场
b28	找B28检票口
地名,过来,高铁,到达口	找到达口
l口	找L口
7号出口	找7号到达口
a2号口	找A2检票口
停车场	找停车场
坐高铁	坐车
b入口	找B口
b19检票口	找B19检票口
A22口	找A22检票口
北在哪边	找北边
出口5	找5号到达口
9号口	找9号到达口
北4桥	找北4桥柱
检票口B9	找B9检票口
C21	找C21检票口
人工,人工售票	人工窗口
便利店	找便利店
北3桥墩	找北3桥柱
出口7	找7号到达口
火车票,取	找自助取票机
b25	找B25检票口
14出口	找14号到达口
8出口	找8号到达口
24号出口	找24号到达口
取不了	人工窗口
1号口	找1号到达口
P8	找p8停车场
西门出站口	找西出站口
c28	找C28检票口
忘带身份证	办临时身份证
15出口	找15号到达口
南11柱	找南11桥柱
西边的爱心驿站	找西门爱心驿站
b25口	找B25检票口
p10	找p10停车场
怎么改	找改签处
轻轨,到达口	找到达口
北14	找北14桥柱
P1停车场	找p1停车场
B5号口	找B5检票口
B27检票口	找B27检票口
3出口	找3号到达口
20号到达口	找20号到达口
汇智光华商店	找汇智光华商店
k出口	找K口
广州南站汽车客运站	坐大巴
D21检票口	找D21检票口
C27号口	找C27检票口
b8检票口	找B8检票口
南门	找南门
汇智光华商店	找汇智光华商店
D24	找D24检票口
行李寄存处	找行李寄存处
打车	打车
12出口	找12号到达口
检票口D22	找D22检票口
a11口	找A11检票口
到达口21	找21号到达口
C27	找C27检票口
检票口B9	找B9检票口
e口	找E口
哪里上	坐车
A24号口	找A24检票口
a20	找A20检票口
a7	找A7检票口
d25检票口	找D25检票口
北1桥洞	找北1桥柱
B7号口	找B7检票口
d入口	找D口
南6	找南6桥柱
哪个口	找到达口
南站汽车客运站	坐大巴
南路	找南站南路
轻轨,在哪坐	坐城轨
改签	找改签处
l口	找L口
a12检票口	找A12检票口
b12检票口	找B12检票口
广铁瑞途便利店	找广铁瑞途便利店
南面进站口	找南进站口
b22口	找B22检票口
检票口a20	找A20检票口
A19	找A19检票口
P8停车场	找p8停车场
坐高铁	坐车
c23口	找C23检票口
检票口B1	找B1检票口
买票	买票
蒸功夫	找蒸功夫
a20口	找A20检票口
有饭吃	用餐
西出口	找西出口
改签	找改签处
8进站口	找8号进站口
北2桥	找北2桥柱
9号出口	找9号到达口
北出站口	找北出站口
南7洞口	找南7桥柱
B13检票口	找B13检票口
北10桥柱	找北10桥柱
退票	人工窗口
B24	找B24检票口
到达口6	找6号到达口
南13	找南13桥柱
北9桥	找北9桥柱
B21检票口	找B21检票口
地名,取不出来,票	人工窗口
出发层	坐车
存包	找行李寄存处
22号口	找22号到达口
北7桥	找北7桥柱
7号出口	找7号到达口
B25检票口	找B25检票口
3号到达口	找3号到达口
B15号口	找B15检票口
卫生间	找卫生间
A2	找A2检票口
北侧出站口	找北出站口
北6桥墩	找北6桥柱
吃的,就餐	用餐
18号口	找18号到达口
B7检票口	找B7检票口
到达口9	找9号到达口
东边的进站口	找东进站口
北2桥	找北2桥柱
行李托运,托运	找行李托运
北5桥柱	找北5桥柱
5号出口	找5号到达口
C26	找C26检票口
南5	找南5桥柱
退票	人工窗口
2进站口	找2号进站口
A5检票口	找A5检票口
A28	找A28检票口
13号出口	找13号到达口
A10号口	找A10检票口
c28口	找C28检票口
a4口	找A4检票口
北6洞口	找北6桥柱
a18检票口	找A18检票口
检票口B3	找B3检票口
B11口	找B11检票口
A26口	找A26检票口
能不能	是否类问题
b出口	找B口
取票	找自助取票机
B4	找B4检票口
南1柱	找南1桥柱
地名1,城轨	坐城轨
北7桥柱	找北7桥柱
检票口b12	找B12检票口
北面的出站口	找北出站口
检票口A10	找A10检票口
南站南路	找南站南路
南边进站口	找南进站口
南站南路	找南站南路
b16号口	找B16检票口
2号线	坐地铁
北9洞口	找北9桥柱
西面的爱心驿站	找西门爱心驿站
蒸功夫	找蒸功夫
26号口	找26号到达口
北13桥洞	找北13桥柱
b3检票口	找B3检票口
3层	坐车
人工,人工售票	人工窗口
D24口	找D24检票口
B口	找B口
b16检票口	找B16检票口
西出发平台	找西出发平台
A13号口	找A13检票口
检票口C27	找C27检票口
检票口a2	找A2检票口
充电宝	借充电宝
南5桥	找南5桥柱
21号口	找21号到达口
北13柱	找北13桥柱
22号口	找22号到达口
北,14号桥	找北14桥柱
检票口b11	找B11检票口
A26	找A26检票口
检票口d23	找D23检票口
3楼,上去	坐车
7号线	坐地铁
北14桥洞	找北14桥柱
B17检票口	找B17检票口
28号口	找28号到达口
北边出站口	找北出站口
取票口	找自助取票机
南14桥墩	找南14桥柱
18出口	找18号到达口
b9口	找B9检票口
便利店	找便利店
d26号口	找D26检票口
购票	买票
地铁口	坐地铁
西侧,出发平台	找西出发平台
订火车票	人工窗口
东出口	找东出口
等车	坐车
北3桥墩	找北3桥柱
南8桥柱	找南8桥柱
c20检票口	找C20检票口
b21	找B21检票口
6号出站口	找6号出站口
接客区	找p3停车场
a10口	找A10检票口
出口8	找8号到达口
a28号口	找A28检票口
c26	找C26检票口
北11桥墩	找北11桥柱
西进站口	找西进站口
出去,东门	找东门
P10	找p10停车场
h出口	找H口
a5口	找A5检票口
B17检票口	找B17检票口
检票口D21	找D21检票口
p4停车场	找p4停车场
南6柱	找南6桥柱
b26号口	找B26检票口
c20口	找C20检票口
D26号口	找D26检票口
西门的爱心驿站	找西门爱心驿站
南5桥墩	找南5桥柱
1号口	找1号到达口
广南汽车站	坐大巴
B11号口	找B11检票口
2线地铁	坐地铁
出站口西	找西出站口
A10口	找A10检票口
b入口	找B口
P1	找p1停车场
C22口	找C22检票口
p3	找p3停车场
检票口d20	找D20检票口
A17号口	找A17检票口
检票口B2	找B2检票口
A12	找A12检票口
有饭吃	用餐
网约车	找p1停车场
南侧的进站口	找南进站口
母婴处	找母婴室
21号口	找21号到达口
b6号口	找B6检票口
汽车站	坐大巴
南3桥洞	找南3桥柱
检票口a28	找A28检票口
h口	找H口
a12检票口	找A12检票口
到达口15	找15号到达口
到达口14	找14号到达口
1出站口	找1号出站口
b18口	找B18检票口
检票	坐车
a28口	找A28检票口
改签	找改签处
B10口	找B10检票口
北侧的出站口	找北出站口
高铁票,取	找自助取票机
b9检票口	找B9检票口
南14桥	找南14桥柱
高铁快递	找高铁快递
7号线,地铁	坐地铁
p6停车场	找p6停车场
A16号口	找A16检票口
a10号口	找A10检票口
出口18	找18号到达口
A14	找A14检票口
地名1,城轨	坐城轨
C24口	找C24检票口
取票	找自助取票机
长途汽车客运站	坐大巴
南站南路	找南站南路
15号出口	找15号到达口
19出口	找19号到达口
B19号口	找B19检票口
D26检票口	找D26检票口
人工窗口	人工窗口
b23检票口	找B23检票口
去哪,买票	买票
B12	找B12检票口
北14桥	找北14桥柱
7号线	坐地铁
7号口	找7号到达口
东出站口	找东出站口
c20号口	找C20检票口
c28口	找C28检票口
南入口	找南门
a16口	找A16检票口
城轨,坐车	坐车
d23口	找D23检票口
d27	找D27检票口
汽车客运站	坐大巴
5出站口	找5号出站口
汽车客运站	坐大巴
B13口	找B13检票口
检票口B28	找B28检票口
南站北路	找南站北路
b2口	找B2检票口
检票口B27	找B27检票口
D22	找D22检票口
南2柱	找南2桥柱
快餐	用餐
A22口	找A22检票口
A23	找A23检票口
A10	找A10检票口
长途汽车站	坐大巴
a26检票口	找A26检票口
东在哪里	找东边
A21	找A21检票口
北11洞口	找北11桥柱
南在哪里	找南边
高铁	坐车
南站汽车客运站	坐大巴
坐车	坐车
北5	找北5桥柱
检票口C26	找C26检票口
北,1号桥	找北1桥柱
北侧出站口	找北出站口
检票口a15	找A15检票口
进站口4	找4号进站口
B28号口	找B28检票口
b9检票口	找B9检票口
16号到达口	找16号到达口
b15	找B15检票口
5出口	找5号到达口
绝味鸭脖	找绝味鸭脖
南3桥	找南3桥柱
动车,坐车	坐车
A27号口	找A27检票口
检票口B28	找B28检票口
A3	找A3检票口
L入口	找L口
南3桥柱	找南3桥柱
检票口a2	找A2检票口
充电宝	借充电宝
北,13号桥	找北13桥柱
C22口	找C22检票口
城轨,哪个口	找到达口
B18号口	找B18检票口
B20口	找B20检票口
A14	找A14检票口
买票	买票
检票口B13	找B13检票口
B24号口	找B24检票口
地名1,轻轨,在哪坐	坐城轨
8号进站口	找8号进站口
